Account Name,Account ID,Tier,NTEE code,EIN,One time donations amount,Recurring donations amount,Total Donations Amount,FRU - Sector,FRU - Subsector
Classroom Champions Inc.,ADPZGMDN,Tier 6 (<$5K),B92,45-1256761,"$146,451",$0,"$146,451",Education,Education - General
Pedacito de Cielo,ARHVWWCT,,,,"$146,290",$0,"$146,290",,
Amazon Conservation,ABWGLPWH,Tier 6 (<$5K),,,"$136,669","$9,559","$146,228",,
BirdNote,AZCBQEDV,Tier 6 (<$5K),"D30: Wildlife Preservation, Protection",,"$139,539","$6,235","$145,774",Animal Welfare,Animal Welfare - General
The Village for Families & Children,ABWWFBLU,Tier 6 (<$5K),P400,06-0668594,"$135,336","$10,303","$145,638",,
National Sports Center for the Disabled (NSCD),AXKDHKZX,Tier 5 ($5K–10K),,,"$121,640","$23,540","$145,181",,
PHASE ONE Foundation,AYHRPKVB,Tier 6 (<$5K),G30: Cancer,91-2129319,"$133,030","$11,901","$144,930",Healthcare,Healthcare - Cancer
Feeding America's Hungry Children,AVBMLRLP,Tier 6 (<$5K),"K30: Food Service, Free Food Distribution Programs",41-2061798,"$66,786","$77,988","$144,774",Food & Nutrition,Food Banks
The Leakey Foundation,AVDTHASP,Tier 5 ($5K–10K),"V20: Social Science Research Institutes, Services",95-2536475,"$125,913","$18,486","$144,399",Public and Society Benefit,Public & Society Benefit - Social Science
Denver Scholarship Foundation,AGJGNAGK,Tier 3 ($20K–$50K),"B82: Scholarships, Student Financial Aid Services",20-5143175,"$129,875","$14,255","$144,130",Education,Education - General
Single Homeless Project,AVRMSYSA,Tier 5 ($5K–10K),,,"$88,794","$55,230","$144,024",,
Journey's End Refugee Services,AWVUWKVX,Tier 6 (<$5K),"P84: Ethnic, Immigrant Centers and Services",16-1242203,"$87,796","$55,795","$143,591",Human Services,"Human Services - Housing, Shelter"
Collateral Repair Project,AQPMJVLV,,Q40: International Peace and Security,20-4928141,"$119,523","$23,994","$143,517",International Affairs,International Affairs - General
Save The Elephants UK,AZCEQSXB,Tier 4 ($10K–$20K),,,"$79,655","$63,723","$143,378",,
UsAgainstAlzheimer's,AWFLATWQ,Tier 5 ($5K–10K),G83: Alzheimers Disease,45-0672514,"$128,827","$14,536","$143,362",Healthcare,Healthcare - General
Anderson Humane,AJHBBTUD,Tier 4 ($10K–$20K),D20: Animal Protection and Welfare,,"$138,856","$4,391","$143,247",Animal Welfare,Animal Welfare - General
Species Unite,AFCQFWBM,Tier 6 (<$5K),,,"$61,958","$80,786","$142,744",,
Elephant Aid International,AYWZUDYZ,Tier 4 ($10K–$20K),D31: Protection of Endangered Species,27-2243265,"$58,655","$84,056","$142,711",Animal Welfare,Animal Welfare - General
Awaken,AEJDMASG,Tier 5 ($5K–10K),"L41: Homeless, Temporary Shelter",38-3843380,"$107,257","$35,183","$142,440",Human Services,"Human Services - Housing, Shelter"
Build Back Pali,ATAVHWUR,,,,"$142,346",$0,"$142,346",,
Saint Photios Orthodox Theological Seminary,AZPRMMBN,Tier 6 (<$5K),,,"$42,948","$98,768","$141,716",,
International China Concern Hong Kong Limited,APNMKDSY,,,,"$42,524","$99,117","$141,640",,
JRS UK,ADSJTYNE,Tier 6 (<$5K),,,"$77,620","$63,700","$141,320",,
Hope Gospel Mission,AWXLEGBE,Tier 6 (<$5K),F60: Counseling Support Groups,39-1948605,"$137,674","$2,790","$140,464",Healthcare,"Healthcare - Mental Health, Abuse"
UpStart,ABKDPKAA,Tier 5 ($5K–10K),,,"$126,442","$14,016","$140,458",,
The Painted Turtle,AWYKFXNY,Tier 3 ($20K–$50K),O50,95-4612481,"$132,045","$8,044","$140,089",Human Services,Human Services - Sports & Youth Development
Paws for Hope Animal Foundation,AUAKSHXY,Tier 5 ($5K–10K),,,"$81,450","$58,138","$139,588",,
Heartwood Haven,ARDCRCRT,Tier 6 (<$5K),D20: Animal Protection and Welfare,82-3314258,"$75,238","$64,293","$139,531",Animal Welfare,Animal Welfare - General
Scouts Canada,AKSPWJKF,,,,"$137,266","$2,117","$139,383",,
Focus on Tanzanian Communities,ADCMZWKY,Tier 6 (<$5K),Q33: International Relief,04-3369475,"$129,184","$10,104","$139,288",International Affairs,International Affairs - General
GLO USA,AUBEEDNL,,,,"$131,779","$7,248","$139,027",,
Dare for More,ALMRZMEX,Tier 6 (<$5K),X20: Christian,20-5648351,"$82,598","$55,685","$138,283",Religion,Religion - Christian
CAIR Washington,AFNALFBW,Tier 4 ($10K–$20K),,,"$133,145","$5,097","$138,242",,
Railway Children,AEBSGXCQ,Tier 5 ($5K–10K),,,"$122,556","$15,531","$138,087",,
Neighborhood Hope,AZQJHCBG,Tier 5 ($5K–10K),P20: Human Service Organizations,,"$126,782","$10,900","$137,682",Human Services,Human Services - General
SR3,AZNLEPGP,Tier 5 ($5K–10K),,,"$93,782","$43,733","$137,515",,
Ronald McDonald House Charities of Idaho,ARSKBBSN,Tier 6 (<$5K),E860,94-3030996,"$120,997","$16,354","$137,351",,
ACN - Peru,ASUJFCJQ,,,,"$79,507","$57,648","$137,155",,
Abu Huraira Center,ABQUQVAD,,,,"$78,901","$57,955","$136,855",,
WOLF Sanctuary,ACCHQDTW,Tier 6 (<$5K),D31: Protection of Endangered Species,,"$73,735","$63,027","$136,762",Animal Welfare,Animal Welfare - General
Angels & Sparrows,ANBJUQHG,,,,"$120,796","$15,904","$136,700",,
Fort Worth Report,AYKKXRFX,Tier 6 (<$5K),"A30: Media, Communications Organizations",83-4688357,"$90,741","$45,934","$136,675",Arts & Culture,Arts & Culture - Media
Development and Relief Foundation,ADGCBJYR,Tier 4 ($10K–$20K),"M12: Public Safety, Disaster Preparedness and Relief Fund Raising and Fund Distribution",20-0860523,"$109,523","$27,052","$136,575",Human Services,Human Services - Public Safety
Keren Hayeled,AWMLDUAD,Tier 5 ($5K–10K),,,"$127,280","$9,088","$136,367",,
Longmont Humane Society,ADZBMEWF,Tier 6 (<$5K),D20: Animal Protection and Welfare,84-0645455,"$126,328","$10,032","$136,360",Animal Welfare,Animal Welfare - General
Astraea Lesbian Foundation For Justice,AWUUVSNV,Tier 3 ($20K–$50K),R26: LGBT Rights,13-2992977,"$120,871","$15,451","$136,321",Human Services,"Human Services - Civil Rights, Social Justice"
China Partnership,AMNHTKVP,,X20: Christian,47-5586607,"$81,954","$54,340","$136,294",Religion,Religion - Christian
James River Association,AMXJSJLP,Tier 5 ($5K–10K),"C32: Water Resource, Wetlands Conservation and Management",51-0211913,"$104,495","$31,783","$136,278",Environment,Environment - General
Our House,ACHLCHJS,Tier 5 ($5K–10K),P33: Child Day Care,58-1743333,"$105,792","$30,344","$136,136",Human Services,Human Services - General
Tzu Chi USA - Northwest Region,AACGESBP,,,,"$105,392","$30,707","$136,099",,
Justice Defense Fund,AKHNERRT,Tier 6 (<$5K),,85-1451255,"$70,254","$65,521","$135,775",,
HomeFirst Services,AGHFAPYC,Tier 6 (<$5K),,,"$115,282","$20,493","$135,775",,
CMHFOUNDATION,AKEDJXXK,Tier 6 (<$5K),,,"$134,432","$1,243","$135,675",,
The Episcopal Church,APGZAWHR,Tier 3 ($20K–$50K),X20: Christian,13-1776448,"$57,236","$78,405","$135,641",Religion,Religion - Christian
Humanity & Inclusion,ABNHRSDF,Tier 5 ($5K–10K),,,"$89,530","$46,086","$135,616",,
CureSHANK,ARXGHZCE,Tier 4 ($10K–$20K),H84,84-2240648,"$124,934","$10,517","$135,451",Healthcare,Healthcare - General
Scott Hamilton CARES Foundation,AGVWWUGX,Tier 6 (<$5K),H30: Cancer Research,47-2328142,"$113,181","$22,264","$135,445",Healthcare,Healthcare - General
Crazy Horse Memorial,AMHYAEEN,Tier 3 ($20K–$50K),"A80: Historical Societies, Historical Preservation",46-0220678,"$135,315",$82,"$135,397",Arts & Culture,Arts & Culture - General
The Canons Regular of St. John Cantius,ACMDXDPK,Tier 5 ($5K–10K),X20: Christian,36-4227325,"$62,097","$73,120","$135,218",Religion,Religion - Christian
CAIR Connecticut,AFYRENZG,,,,"$129,594","$4,842","$134,436",,
Mentors International,AEHXQUEW,,Q320,43-1536498,"$134,017",$360,"$134,377",Public and Society Benefit,Public & Society Benefit - General
Partnership for After School Education,AVRDLCGB,Tier 6 (<$5K),B02: Education Management and Technical Assistance,13-3976066,"$133,333",$775,"$134,108",Education,Education - General
Civil Air Patrol,AZXCSDDL,Tier 6 (<$5K),"W30: Military, Veterans Organizations",38-3736823,"$98,254","$35,843","$134,096",Public and Society Benefit,Public & Society Benefit - General
Raincoast Conservation Foundation,ATTQMVEH,Tier 5 ($5K–10K),C30: Natural Resources Conservation and Protection,91-2115603,"$112,161","$21,681","$133,842",Environment,Environment - General
The American Prospect,AEZPPRRH,Tier 6 (<$5K),"A33: Printing, Publishing",52-1617061,"$87,602","$46,026","$133,628",Arts & Culture,Arts & Culture - Media
Take a Hike Foundation,AELBQRXQ,Tier 4 ($10K–$20K),B00: Educational Institutions,35-2707720,"$88,083","$45,300","$133,383",Education,Education - General
Western Watersheds Project,AWKXJXJT,Tier 6 (<$5K),"C32: Water Resource, Wetlands Conservation and Management",94-3202140,"$86,787","$46,446","$133,233",Environment,Environment - General
Jobs for America's Graduates,ASLSHGWY,Tier 5 ($5K–10K),J200,52-1194546,"$132,437",$325,"$132,762",Public and Society Benefit,"Public & Society Benefit - Employment, Job"
National Health Law Program,APLMEDPE,Tier 5 ($5K–10K),I80: Legal Services,95-3080947,"$127,242","$4,971","$132,213",Public and Society Benefit,"Public & Society Benefit - Crime, Legal"
Texas Gulf Coast Refuge for Women,ATJMUFUY,,,,"$53,223","$78,813","$132,037",,
Safe Places for Women,ASHYVYPR,Tier 6 (<$5K),P43: Family Violence Shelters and Services,93-2182802,"$67,707","$64,139","$131,846",Human Services,Human Services - General
Acadiana Animal Aid,ASGSDYYC,Tier 6 (<$5K),D20: Animal Protection and Welfare,23-7414331,"$68,525","$63,034","$131,559",Animal Welfare,Animal Welfare - General
Life Child Africa Foundation USA,AFEHUFJU,Tier 6 (<$5K),Q33: International Relief,46-3962510,"$48,859","$82,169","$131,027",International Affairs,International Affairs - General
Northwest Maritime,AGWUJGTY,Tier 4 ($10K–$20K),A54: History Museums,91-1931643,"$114,748","$16,047","$130,795",Arts & Culture,Arts & Culture - General
Habitat for Humanity East Bay/Silicon Valley,AMEYZMFW,Tier 5 ($5K–10K),"L20: Housing Development, Construction, Management",94-3053687,"$130,384",$310,"$130,694",Human Services,"Human Services - Housing, Shelter"
Brooklyn Debate League,AHKJUZBN,Tier 6 (<$5K),B80: Student Services and Organizations of Students,88-3150937,"$105,942","$24,698","$130,640",Education,Education - General
Uncommon Schools,AXGXSELV,Tier 5 ($5K–10K),B90,31-1488698,"$123,019","$7,553","$130,572",Education,K-12 Education
Community Partners International,ANUJRUQN,Tier 5 ($5K–10K),Q33: International Relief,94-3375666,"$119,846","$10,544","$130,391",International Affairs,International Affairs - General
Justice and Mercy Legal Aid Center,AMPPXRWQ,Tier 6 (<$5K),N80,84-4939757,"$73,671","$56,608","$130,279",,
Boys & Girls Clubs of Metropolitan Baltimore,AYGJPEYW,Tier 4 ($10K–$20K),"O20: Youth Centers, Boys and Girls Clubs",26-4371125,"$78,175","$51,844","$130,019",Human Services,Human Services - Sports & Youth Development
Hope Rises International,ANWBXHTV,Tier 5 ($5K–10K),,,"$102,733","$27,161","$129,894",,
Stay Here,AZFSERLY,Tier 6 (<$5K),F60: Counseling Support Groups,84-5073480,"$82,563","$47,290","$129,853",Healthcare,"Healthcare - Mental Health, Abuse"
Micro Mozilla Foundation,APCQSSNA,,,,$62,"$129,497","$129,560",,
A Continuous Charity,AAFVJASS,Tier 3 ($20K–$50K),B82,45-5424452,"$11,624","$117,834","$129,458",Education,Education - General
Plummer Youth Promise,APWHUSXA,Tier 5 ($5K–10K),P730,04-2104844,"$88,489","$40,764","$129,253",Human Services,Human Services - General
21st Century Leaders,AFVYLCST,Tier 3 ($20K–$50K),"B28: Special Education Institutions, Programs",58-1820875,"$123,448","$5,280","$128,728",Education,K-12 Education
Furniture Bank,ADYXKZEY,Tier 6 (<$5K),P00: Human Services: General,46-2771809,"$118,144","$10,016","$128,159",Human Services,Human Services - General
Watan UK,AMUFNRBV,,,,"$122,079","$6,078","$128,158",,
Become,ALEQDZHX,Tier 5 ($5K–10K),S99,46-1585510,"$56,393","$71,733","$128,126",,
Legacy Stone,AKFLLJEP,Tier 5 ($5K–10K),S50: Nonprofit Management,47-1669603,"$127,428",$697,"$128,125",Public and Society Benefit,Public & Society Benefit - General
RUHX,AKUJBPFA,Tier 6 (<$5K),,,"$116,610","$11,513","$128,123",,
ASHP Foundation,AGLTLWTF,Tier 6 (<$5K),,,"$123,674","$4,446","$128,120",,
SPCA of Brevard,ADFRGXVF,,D20: Animal Protection and Welfare,,"$103,558","$24,249","$127,807",Animal Welfare,Animal Welfare - General
Make-A-Wish (Κάνε-Μια-Ευχή Ελλάδος),ALQKZXRN,,,,"$111,233","$16,443","$127,676",,
Many Mansions,ALRZKGAK,Tier 6 (<$5K),L21: Public Housing Facilities,95-3424516,"$104,880","$22,507","$127,387",Human Services,"Human Services - Housing, Shelter"
Petros Network,ABXAPFAP,Tier 5 ($5K–10K),X20: Christian,45-4131862,"$96,399","$30,904","$127,303",Religion,Religion - Christian
Mercy Ships New Zealand,AZNXKRCF,Tier 4 ($10K–$20K),Q33: International Relief,,"$90,485","$36,778","$127,263",International Affairs,International Affairs - General
Universal Academy of Florida,AZYBPLUF,,,59-3119396,"$126,330",$723,"$127,053",,
Boys & Girls Clubs of Greater Dallas,AFYBQXYM,Tier 3 ($20K–$50K),"O20: Youth Centers, Boys and Girls Clubs",75-1152657,"$125,961",$785,"$126,747",Human Services,Human Services - Sports & Youth Development
Maine Maritime Academy,ACKXANLL,,,,"$123,285","$3,308","$126,593",,
Hospice Mississauga,ABRZFSYN,Tier 4 ($10K–$20K),,,"$119,808","$6,272","$126,080",,
Al Abrar,AGZJSCUN,Tier 6 (<$5K),,,"$112,958","$12,997","$125,955",Religion,Religion - Islamic
Mercy Medical Angels,ARXMHPCK,Tier 6 (<$5K),"E62: Ambulance, Emergency Medical Transport Services",52-1374161,"$116,999","$8,938","$125,937",Healthcare,Healthcare - General
Alpine Club of Canada,ARFGUGER,,,,"$125,273",$344,"$125,617",,
Cathedral City Senior Center,ACPHAQUT,Tier 6 (<$5K),P81: Senior Centers and Services,,"$54,649","$70,704","$125,353",Human Services,"Human Services - Housing, Shelter"
Revive Israel,AHUHYWRP,,,,"$86,428","$38,897","$125,325",Religion,Religion - Christian
Habitat for Humanity Australia,ARETPCWX,Tier 5 ($5K–10K),,,"$119,647","$5,515","$125,162",,
"St. Ann's Center for Children, Youth and Families",ARASYBPJ,Tier 5 ($5K–10K),P74: Hospice,,"$123,042","$1,879","$124,922",Human Services,"Human Services - Housing, Shelter"
Sea Shepherd Ocean Warriors,AFCRTCXK,,,,$0,"$124,874","$124,874",,
Freedom Bakeries,ARZNLPRX,Tier 3 ($20K–$50K),"K31: Food Banks, Food Pantries",,$0,"$124,749","$124,749",Food & Nutrition,Food Banks
Forgotten Children Worldwide,AVVQMBDM,Tier 6 (<$5K),P30: Childrens and Youth Services,26-0609769,"$97,584","$26,825","$124,409",Human Services,Human Services - General
The Royal,AKCSNTQS,Tier 2 ($50K–$100K),,,"$123,952",$390,"$124,342",,
Muslim American Society,AJWESWNM,Tier 6 (<$5K),X40: Islamic,36-3885457,"$63,945","$60,329","$124,275",Religion,Religion - Islamic
birthFUND,AZLXCCFB,,"Q30: International Development, Relief Services",,"$118,842","$5,412","$124,254",International Affairs,International Affairs - General
Epilepsy Action,AXANNNRH,,,,"$118,949","$5,236","$124,185",,
Lendwithcare,ALNBMAQQ,,,,$0,"$123,860","$123,860",,
Wellspring,ADGPDUKL,,,,"$112,517","$11,255","$123,773",,
Corporate Chaplains of America,APLMPMFF,Tier 6 (<$5K),X99Z,56-1966466,"$83,785","$39,986","$123,771",Religion,Religion - Christian
Share Winter,ATGJDPCL,Tier 6 (<$5K),N68: Winter Sports,45-2885376,"$113,040","$10,473","$123,512",Human Services,Human Services - Sports & Youth Development
Central Refuge for Women,ACQYHVQR,,,,"$75,336","$47,806","$123,142",,
America World Adoption Association,AHCAQFJN,Tier 5 ($5K–10K),P31: Adoption,54-1720006,"$120,424","$2,704","$123,128",Human Services,Human Services - General
RE Sources,AZTDTYRK,Tier 6 (<$5K),C60: Environmental Education,91-1243957,"$80,870","$42,246","$123,116",Environment,Environment - General
GiveCase,ACXYNXWY,,,,"$76,468","$46,548","$123,016",,
ECHO Family Care Partners,AFXJEFQV,Tier 6 (<$5K),,,"$44,505","$78,309","$122,814",,
CAIR Florida,AEQBLQBV,Tier 5 ($5K–10K),R60,65-1110616,"$61,377","$61,383","$122,760",,
Village2Village Project,AHHZWUVG,,P12,46-5669532,"$54,434","$67,956","$122,390",,
The Ocean Foundation,AHVUNYYF,Tier 3 ($20K–$50K),"C32: Water Resource, Wetlands Conservation and Management",71-0863908,"$105,783","$16,432","$122,214",Environment,Environment - General
Mark Schonwetter Holocaust Education Foundation Inc,AFBPBHXH,Tier 6 (<$5K),B12: Education Fund Raising and Fund Distribution,84-2332632,"$110,250","$11,946","$122,196",Education,Education - General
Bridge to Turkiye Fund,AFQZRXRG,Tier 3 ($20K–$50K),"Q20: International Exchanges, Cultural Understanding",58-2678580,"$113,415","$8,628","$122,043",International Affairs,International Affairs - General
Intact America Inc.,ARSFBWDT,Tier 4 ($10K–$20K),R62: Right to Life,81-2887457,"$64,647","$57,345","$121,993",Human Services,"Human Services - Civil Rights, Social Justice"
Jewish Community of Rostov inc.,AZKJLQCM,Tier 6 (<$5K),X30: Jewish,81-5365022,"$91,686","$30,299","$121,985",Religion,Religion - Jewish
American-Arab Anti-Discrimination Committee,AUHZXFAK,Tier 6 (<$5K),,52-1180441,"$120,867",$680,"$121,547",,
Association for Growth and Education,AVRLZBWD,Tier 6 (<$5K),P20: Human Service Organizations,82-3338973,"$113,204","$8,303","$121,506",Human Services,Human Services - General
Animal Protection Society of Durham,AAWRZABG,Tier 6 (<$5K),D20: Animal Protection and Welfare,56-1047100,"$120,136",$814,"$120,950",Animal Welfare,Animal Welfare - General
Out On Screen,AKMECXRC,Tier 6 (<$5K),,,"$47,967","$72,818","$120,785",,
Ignatius Press,AUTMVMEX,Tier 6 (<$5K),X00: Religion: General,,"$64,049","$56,714","$120,763",Religion,Religion - General
Trident United Way,AZFDDUQH,Tier 5 ($5K–10K),"T00: Philanthropy, Voluntarism, and Grantmaking Foundations: General",57-0314378,"$84,542","$36,033","$120,575",Public and Society Benefit,Public & Society Benefit - General
Vancouver International Film Festival,AWVWZWTX,Tier 6 (<$5K),,,"$102,110","$18,079","$120,190",,
Birds and Beaks Rescue and Rehab,ADUGRJCP,Tier 6 (<$5K),D20: Animal Protection and Welfare,82-1640581,"$99,243","$20,861","$120,104",Animal Welfare,Animal Welfare - General
Imani Collective,AMXHEVFS,Tier 6 (<$5K),"T00: Philanthropy, Voluntarism, and Grantmaking Foundations: General",45-1558325,"$72,881","$47,191","$120,072",Public and Society Benefit,Public & Society Benefit - General
TL Membership,AMHBGYAZ,,,,$6,"$119,721","$119,726",,
CMHFOUNDAT,AKEDJXXK,Tier 6 (<$5K),,,"$113,784","$5,747","$119,532",,
Known,ACGYVKBG,Tier 6 (<$5K),,,"$46,180","$73,286","$119,465",,
Neighborhood Cats,AWUBRFKS,Tier 6 (<$5K),D20: Animal Protection and Welfare,13-4133456,"$85,124","$34,240","$119,364",Animal Welfare,Animal Welfare - General
Signal Cleveland,ALVTCPBB,,"R20: Civil Rights, Advocacy for Specific Groups",,"$52,086","$67,163","$119,248",Human Services,"Human Services - Civil Rights, Social Justice"
Cristo Rey Network,AAEMUSEV,Tier 3 ($20K–$50K),B12,04-3730980,"$114,922","$4,267","$119,190",Education,K-12 Education
VWB Canada,AJRUGFQQ,,,,"$113,001","$6,083","$119,084",,
Charity Right Australia,ARRBRFRE,Tier 5 ($5K–10K),,,"$76,109","$42,964","$119,073",,
CUMAC,AYQURCXU,Tier 5 ($5K–10K),P50: Personal Social Services,22-2657737,"$114,614","$3,859","$118,473",Human Services,Human Services - General
Die FREUNDE DES JMB,AQALMQPC,Tier 3 ($20K–$50K),,,"$84,083","$34,166","$118,249",,
Pakistan Children Relief,ARTMXKPL,,B90,45-2209975,"$107,099","$11,133","$118,232",International Affairs,International Affairs - General
Special Pals,ATCUJKDH,Tier 6 (<$5K),D200,74-2050052,"$61,279","$56,510","$117,789",Animal Welfare,Animal Welfare - General
Country Needs People,AHWYSJEK,Tier 6 (<$5K),,,"$77,706","$40,001","$117,707",,
ZERO TO THREE,AEFDKQJK,Tier 1 ($100K+),,,"$72,557","$45,130","$117,687",,
Lighthouse Farm Sanctuary,AAYHHXWY,Tier 5 ($5K–10K),D20: Animal Protection and Welfare,82-0556436,"$52,621","$64,964","$117,586",Animal Welfare,Animal Welfare - General
Calvin Theological Seminary,ARVLNWTS,Tier 3 ($20K–$50K),B42: Undergraduate College (4-year),38-3001876,"$96,716","$20,359","$117,076",Education,Higher Education
The HALO Foundation,AKWFGFTS,Tier 5 ($5K–10K),P31: Adoption,20-1794209,"$94,984","$21,927","$116,911",Human Services,Human Services - General
Ronald McDonald House Charities Ireland,AUHHNKDM,Tier 5 ($5K–10K),,,"$104,116","$12,443","$116,558",,
Granite United Way,ADTHMDKB,Tier 4 ($10K–$20K),"T00: Philanthropy, Voluntarism, and Grantmaking Foundations: General",02-6006033,"$94,488","$21,874","$116,362",Public and Society Benefit,Public & Society Benefit - General
Anti-Slavery International,APNWXDXK,Tier 6 (<$5K),,,"$102,317","$14,024","$116,341",,
Hannah Dugan Defense Fund,ATURQZTV,,,,"$110,074","$6,210","$116,283",,
Embrace Texas,AZKVJEHR,Tier 6 (<$5K),P32: Foster Care,,"$85,249","$30,711","$115,960",Human Services,Human Services - General
SPCA of the Triad,AMZLBNTK,Tier 6 (<$5K),D20: Animal Protection and Welfare,,"$79,800","$35,393","$115,193",Animal Welfare,Animal Welfare - General
Guidance College,AYMEPMPG,Tier 6 (<$5K),B43,32-0344845,"$79,426","$35,242","$114,668",Education,Higher Education
The Partnership To End Homelessness,AYWFHBBZ,Tier 6 (<$5K),P85: Homeless Persons Centers and Services,13-3732698,"$97,928","$16,544","$114,473",Human Services,"Human Services - Housing, Shelter"
United Way of Pierce County,ACYJRCBY,Tier 4 ($10K–$20K),"T00: Philanthropy, Voluntarism, and Grantmaking Foundations: General",91-0650669,"$103,270","$10,949","$114,219",Public and Society Benefit,Public & Society Benefit - General
Human Rights Foundation,AMJYQSVP,Tier 3 ($20K–$50K),Q70: International Human Rights,20-2669700,"$89,468","$24,685","$114,153",International Affairs,International Affairs - General
Violence Policy Center,AHVYETXS,Tier 4 ($10K–$20K),I20: Crime Prevention,52-1571442,"$79,690","$34,378","$114,067",Public and Society Benefit,"Public & Society Benefit - Crime, Legal"
Walden Family Services,AZVDDZLC,Tier 6 (<$5K),P32: Foster Care,,"$101,630","$12,180","$113,810",Human Services,Human Services - General
BRC,ADTWFPNY,Tier 5 ($5K–10K),"L41: Homeless, Temporary Shelter",,"$113,538",$105,"$113,643",Human Services,"Human Services - Housing, Shelter"
Hawai'i Symphony Orchestra,ASFGFGGR,Tier 5 ($5K–10K),,,"$53,991","$59,579","$113,570",Arts & Culture,Arts & Culture - General
Rebuilding Together Montgomery County,ASYSGWSA,Tier 6 (<$5K),L80: Housing Support Services,52-1667026,"$109,482","$4,040","$113,522",Human Services,"Human Services - Housing, Shelter"
Song for Charlie,ARZDZLPU,Tier 6 (<$5K),"F20: Alcohol, Drug, and Substance Abuse, Dependency Prevention and Treatment",85-1362612,"$98,787","$14,537","$113,324",Healthcare,"Healthcare - Mental Health, Abuse"
Camp Marannook,ACMEEMSV,Tier 6 (<$5K),N20: Recreational and Sporting Camps,23-7439467,"$76,355","$36,944","$113,298",Human Services,Human Services - Sports & Youth Development
Green Olive Collective Inc,ACBRQNBK,,,,"$98,092","$15,180","$113,271",,
Excellencies of Christ Ministries,ARUMCCTP,Tier 6 (<$5K),X20: Christian,46-3836095,"$38,896","$74,357","$113,254",Religion,Religion - Christian
Jewish Family Services of Washtenaw County,APECYLUB,Tier 5 ($5K–10K),P40: Family Services,41-2147486,"$110,411","$2,597","$113,008",Human Services,Human Services - General
The Reading Team,ADRJXYEK,Tier 6 (<$5K),"B92: Remedial Reading, Reading Encouragement Programs",13-4125884,"$107,530","$5,408","$112,939",Education,Education - General
Treatment Advocacy Center,AQZFTVWD,Tier 6 (<$5K),F01: Mental Health and Crisis Intervention Alliances and Advocacy,54-1905826,"$78,755","$34,160","$112,915",Healthcare,"Healthcare - Mental Health, Abuse"
Israel Summit,AWPWSKYL,,,,"$112,366",$0,"$112,366",,
Challenge Ministries U.S.,AUDNJRJA,Tier 5 ($5K–10K),,,"$31,905","$80,416","$112,321",,
Seva Food Bank,ARAXZKGH,Tier 3 ($20K–$50K),"K31: Food Banks, Food Pantries",,"$86,456","$25,848","$112,304",Food & Nutrition,Food Banks
Street Soccer USA,AGHTJJXE,Tier 6 (<$5K),"N64: Soccer Clubs, Leagues",26-4694946,"$99,779","$12,090","$111,869",Human Services,Human Services - Sports & Youth Development
Foothills Animal Rescue,AYEVKPWP,Tier 5 ($5K–10K),D20: Animal Protection and Welfare,86-0789269,"$102,292","$9,336","$111,628",Animal Welfare,Animal Welfare - General
Heart of West Michigan United Way,AZVLXXBJ,Tier 4 ($10K–$20K),"T00: Philanthropy, Voluntarism, and Grantmaking Foundations: General",38-1360923,"$106,742","$4,793","$111,535",Public and Society Benefit,Public & Society Benefit - General
Edmarc,AVUTLTVB,Tier 6 (<$5K),E92: Home Health Care,54-1092904,"$74,876","$36,654","$111,530",Healthcare,Healthcare - General
Prison Fellowship International,AZRDDYQL,,I20: Crime Prevention,51-0247185,"$110,332","$1,090","$111,422",Public and Society Benefit,"Public & Society Benefit - Crime, Legal"
WWF-Malaysia,AXCEEMHH,Tier 2 ($50K–$100K),"D30: Wildlife Preservation, Protection",,"$70,369","$40,867","$111,236",Animal Welfare,Animal Welfare - General
Boys & Girls Clubs of Silicon Valley,YTIFLOKZ,Tier 3 ($20K–$50K),"O20: Youth Centers, Boys and Girls Clubs",94-1294898,"$100,660","$10,506","$111,165",Human Services,Human Services - Sports & Youth Development
VOA Ohio & Indiana,AZBZFAMW,,P20: Human Service Organizations,,"$93,130","$18,031","$111,161",Human Services,Human Services - General
Cultural Survival,AFHCHWWA,Tier 4 ($10K–$20K),"R20: Civil Rights, Advocacy for Specific Groups",23-7182593,"$92,724","$17,779","$110,503",Human Services,"Human Services - Civil Rights, Social Justice"
Kevin Love Fund,AHGXVMHP,,G83: Alzheimers Disease,93-2532043,"$108,584","$1,824","$110,408",Healthcare,Healthcare - General
Mann Center for the Performing Arts,AYMCZEVP,Tier 4 ($10K–$20K),A610,23-1473884,"$110,284",$0,"$110,284",Arts & Culture,Arts & Culture - General
Scholarship America,AXQUFRQH,Tier 1 ($100K+),"B82: Scholarships, Student Financial Aid Services",04-2296967,"$109,652",$120,"$109,772",Education,Education - General
CAIR-Houston,ASMJBYMH,Tier 5 ($5K–10K),"R20: Civil Rights, Advocacy for Specific Groups",,"$96,584","$12,935","$109,519",Human Services,"Human Services - Civil Rights, Social Justice"
Family & Children's Services,AJYFWWYC,Tier 3 ($20K–$50K),P40Z,22-1487179,"$92,488","$16,725","$109,213",Human Services,Human Services - General
Campaign for Tobacco-Free Kids,AFVWQVMP,Tier 1 ($100K+),F520,52-1969967,"$104,640","$4,507","$109,147",,
Evergreen,ASXKTHYJ,Tier 6 (<$5K),,,"$74,112","$34,287","$108,400",Religion,Religion - General
